winner,bot_player,bot_wins,moves,max_depth,avg_minimax_time,game_number
0,0,True,15,16,1.3321638107299805e-05,2890
1,1,True,12,15,1.0410944620768229e-05,2891
0,0,True,7,16,5.245208740234375e-06,2892
1,1,True,14,15,6.198883056640625e-06,2893
1,1,True,16,15,6.556510925292969e-06,2894
0,0,True,13,16,1.0626656668526785e-05,2895
Draw,1,False,16,15,5.453824996948242e-06,2896
1,1,True,16,15,5.841255187988281e-06,2897
1,1,True,16,15,5.841255187988281e-06,2898
Draw,0,False,16,16,8.13603401184082e-06,2899
0,0,True,11,16,5.364418029785156e-06,2900
1,1,True,16,15,6.079673767089844e-06,2901
Draw,0,False,16,16,5.513429641723633e-06,2902
1,1,True,16,15,5.7220458984375e-06,2903
0,0,True,15,16,6.318092346191406e-06,2904
1,1,True,16,15,5.543231964111328e-06,2905
1,1,True,12,15,6.000200907389323e-06,2906
1,1,True,14,15,6.880078996930804e-06,2907
Draw,0,False,16,16,6.735324859619141e-06,2908
1,1,True,16,15,5.453824996948242e-06,2909
Draw,1,False,16,15,5.0067901611328125e-06,2910
Draw,0,False,16,16,7.0035457611083984e-06,2911
0,0,True,7,16,5.424022674560547e-06,2912
1,1,True,16,15,5.424022674560547e-06,2913
0,0,True,7,16,5.0067901611328125e-06,2914
1,1,True,16,15,6.16908073425293e-06,2915
1,1,True,16,15,5.513429641723633e-06,2916
1,1,True,8,15,8.106231689453125e-06,2917
Draw,0,False,16,16,4.380941390991211e-06,2918
Draw,0,False,16,16,6.3478946685791016e-06,2919
0,0,True,7,16,4.76837158203125e-06,2920
Draw,1,False,16,15,6.318092346191406e-06,2921
1,1,True,16,15,6.67572021484375e-06,2922
1,1,True,16,15,6.16908073425293e-06,2923
Draw,0,False,16,16,5.0961971282958984e-06,2924
1,1,True,16,15,5.662441253662109e-06,2925
Draw,0,False,16,16,5.0961971282958984e-06,2926
Draw,0,False,16,16,6.288290023803711e-06,2927
0,0,True,15,16,6.556510925292969e-06,2928
0,0,True,7,16,4.172325134277344e-06,2929
1,1,True,16,15,6.943941116333008e-06,2930
Draw,1,False,16,15,5.424022674560547e-06,2931
0,0,True,13,16,5.040849958147321e-06,2932
0,0,True,7,16,5.424022674560547e-06,2933
0,0,True,15,16,5.0067901611328125e-06,2934
1,1,True,8,15,6.318092346191406e-06,2935
0,0,True,15,16,5.662441253662109e-06,2936
1,1,True,16,15,5.334615707397461e-06,2937
1,1,True,16,15,5.751848220825195e-06,2938
Draw,0,False,16,16,5.185604095458984e-06,2939
1,1,True,16,15,7.927417755126953e-06,2940
Draw,0,False,16,16,5.21540641784668e-06,2941
1,1,True,16,15,5.930662155151367e-06,2942
0,0,True,15,16,8.285045623779297e-06,2943
Draw,0,False,16,16,4.947185516357422e-06,2944
1,1,True,8,15,6.496906280517578e-06,2945
1,1,True,12,15,6.1194101969401044e-06,2946
1,1,True,16,15,7.033348083496094e-06,2947
1,1,True,14,15,7.220676967075893e-06,2948
Draw,0,False,16,16,7.62939453125e-06,2949
Draw,0,False,16,16,4.827976226806641e-06,2950
Draw,1,False,16,15,6.16908073425293e-06,2951
0,0,True,15,16,5.066394805908203e-06,2952
1,1,True,14,15,6.130763462611607e-06,2953
1,1,True,16,15,5.9604644775390625e-06,2954
1,1,True,16,15,5.543231964111328e-06,2955
1,1,True,10,15,8.0108642578125e-06,2956
Draw,0,False,16,16,5.0961971282958984e-06,2957
1,1,True,12,15,7.589658101399739e-06,2958
1,1,True,12,15,5.4836273193359375e-06,2959
1,1,True,16,15,5.632638931274414e-06,2960
0,0,True,7,16,5.781650543212891e-06,2961
1,1,True,16,15,6.288290023803711e-06,2962
0,0,True,15,16,5.304813385009766e-06,2963
0,0,True,7,16,5.245208740234375e-06,2964
1,1,True,16,15,5.364418029785156e-06,2965
0,0,True,7,16,4.887580871582031e-06,2966
1,1,True,16,15,6.3478946685791016e-06,2967
1,1,True,16,15,5.5730342864990234e-06,2968
0,0,True,7,16,5.066394805908203e-06,2969
1,1,True,16,15,5.751848220825195e-06,2970
1,1,True,14,15,5.245208740234375e-06,2971
Draw,1,False,16,15,8.285045623779297e-06,2972
Draw,1,False,16,15,6.735324859619141e-06,2973
0,0,True,7,16,4.589557647705078e-06,2974
1,1,True,16,15,6.258487701416016e-06,2975
1,1,True,8,15,6.377696990966797e-06,2976
Draw,0,False,16,16,5.364418029785156e-06,2977
0,0,True,11,16,5.7220458984375e-06,2978
Draw,1,False,16,15,5.692243576049805e-06,2979
Draw,0,False,16,16,4.976987838745117e-06,2980
1,1,True,8,15,6.139278411865234e-06,2981
Draw,0,False,16,16,4.6193599700927734e-06,2982
1,1,True,16,15,6.973743438720703e-06,2983
Draw,0,False,16,16,6.079673767089844e-06,2984
0,0,True,15,16,5.424022674560547e-06,2985
Draw,0,False,16,16,6.288290023803711e-06,2986
0,0,True,11,16,4.927317301432292e-06,2987
1,1,True,10,15,7.295608520507813e-06,2988
0,0,True,11,16,4.887580871582031e-06,2989
0,0,True,7,16,5.125999450683594e-06,2990
1,1,True,16,15,5.8710575103759766e-06,2991
0,0,True,7,16,4.589557647705078e-06,2992
0,0,True,7,16,5.125999450683594e-06,2993
1,1,True,16,15,5.692243576049805e-06,2994
Draw,0,False,16,16,5.21540641784668e-06,2995
1,1,True,16,15,5.513429641723633e-06,2996
0,0,True,7,16,5.0067901611328125e-06,2997
1,1,True,16,15,5.453824996948242e-06,2998
Draw,1,False,16,15,9.119510650634766e-06,2999
1,1,True,14,15,5.313328334263393e-06,3000
0,0,True,15,16,5.304813385009766e-06,3001
Draw,0,False,16,16,6.3478946685791016e-06,3002
0,0,True,7,16,4.947185516357422e-06,3003
0,0,True,7,16,4.708766937255859e-06,3004
0,0,True,13,16,5.381447928292411e-06,3005
1,1,True,16,15,5.751848220825195e-06,3006
Draw,1,False,16,15,5.543231964111328e-06,3007
1,1,True,16,15,6.258487701416016e-06,3008
1,1,True,8,15,6.4373016357421875e-06,3009
1,1,True,16,15,5.543231964111328e-06,3010
0,0,True,15,16,4.976987838745117e-06,3011
Draw,0,False,16,16,5.066394805908203e-06,3012
0,0,True,7,16,4.76837158203125e-06,3013
1,1,True,16,15,5.334615707397461e-06,3014
1,1,True,14,15,5.41550772530692e-06,3015
Draw,1,False,16,15,7.18235969543457e-06,3016
0,0,True,13,16,5.619866507393974e-06,3017
1,1,True,16,15,6.616115570068359e-06,3018
0,0,True,7,16,5.543231964111328e-06,3019
1,1,True,8,15,5.602836608886719e-06,3020
1,1,True,14,15,7.254736764090401e-06,3021
0,0,True,7,16,4.112720489501953e-06,3022
0,0,True,7,16,5.364418029785156e-06,3023
0,0,True,7,16,5.0067901611328125e-06,3024
Draw,0,False,16,16,6.288290023803711e-06,3025
1,1,True,16,15,6.645917892456055e-06,3026
Draw,1,False,16,15,7.3909759521484375e-06,3027
0,0,True,7,16,4.708766937255859e-06,3028
1,1,True,16,15,7.063150405883789e-06,3029
0,0,True,7,16,4.76837158203125e-06,3030
Draw,0,False,16,16,5.811452865600586e-06,3031
Draw,0,False,16,16,5.5730342864990234e-06,3032
Draw,0,False,16,16,6.139278411865234e-06,3033
0,0,True,7,16,4.410743713378906e-06,3034
1,1,True,12,15,6.9141387939453125e-06,3035
1,1,True,16,15,5.3942203521728516e-06,3036
1,1,True,16,15,6.377696990966797e-06,3037
Draw,0,False,16,16,5.5730342864990234e-06,3038
1,1,True,12,15,6.238619486490886e-06,3039
1,1,True,16,15,8.07642936706543e-06,3040
1,1,True,16,15,6.22868537902832e-06,3041
Draw,0,False,16,16,5.304813385009766e-06,3042
1,1,True,16,15,5.632638931274414e-06,3043
Draw,0,False,16,16,5.21540641784668e-06,3044
Draw,1,False,16,15,6.943941116333008e-06,3045
0,0,True,15,16,5.334615707397461e-06,3046
0,0,True,15,16,5.334615707397461e-06,3047
0,0,True,7,16,5.841255187988281e-06,3048
1,1,True,8,15,7.033348083496094e-06,3049
0,0,True,7,16,5.424022674560547e-06,3050
0,0,True,15,16,5.453824996948242e-06,3051
0,0,True,15,16,4.976987838745117e-06,3052
Draw,1,False,16,15,4.947185516357422e-06,3053
1,1,True,16,15,5.066394805908203e-06,3054
0,0,True,11,16,5.086263020833333e-06,3055
1,1,True,16,15,6.288290023803711e-06,3056
0,0,True,7,16,6.079673767089844e-06,3057
0,0,True,7,16,4.76837158203125e-06,3058
1,1,True,16,15,5.4836273193359375e-06,3059
1,1,True,16,15,5.125999450683594e-06,3060
1,1,True,16,15,5.543231964111328e-06,3061
0,0,True,7,16,5.245208740234375e-06,3062
1,1,True,16,15,5.3942203521728516e-06,3063
Draw,1,False,16,15,6.139278411865234e-06,3064
0,0,True,15,16,4.9173831939697266e-06,3065
0,0,True,15,16,5.364418029785156e-06,3066
1,1,True,16,15,6.616115570068359e-06,3067
1,1,True,12,15,6.079673767089844e-06,3068
1,1,True,12,15,5.364418029785156e-06,3069
0,0,True,7,16,4.827976226806641e-06,3070
1,1,True,16,15,6.4373016357421875e-06,3071
Draw,0,False,16,16,5.364418029785156e-06,3072
0,0,True,7,16,5.602836608886719e-06,3073
1,1,True,8,15,6.496906280517578e-06,3074
0,0,True,15,16,5.5730342864990234e-06,3075
Draw,0,False,16,16,5.155801773071289e-06,3076
1,1,True,8,15,4.76837158203125e-06,3077
1,1,True,16,15,5.692243576049805e-06,3078
1,1,True,8,15,4.112720489501953e-06,3079
0,0,True,15,16,5.334615707397461e-06,3080
1,1,True,12,15,8.066495259602865e-06,3081
1,1,True,8,15,5.662441253662109e-06,3082
Draw,1,False,16,15,5.811452865600586e-06,3083
0,0,True,7,16,5.4836273193359375e-06,3084
1,1,True,16,15,6.67572021484375e-06,3085
0,0,True,15,16,5.0067901611328125e-06,3086
0,0,True,7,16,6.4373016357421875e-06,3087
Draw,0,False,16,16,5.841255187988281e-06,3088
0,0,True,15,16,6.22868537902832e-06,3089
0,0,True,15,16,4.559755325317383e-06,3090
Draw,0,False,16,16,4.738569259643555e-06,3091
1,1,True,12,15,6.357828776041667e-06,3092
1,1,True,16,15,5.364418029785156e-06,3093
1,1,True,8,15,6.139278411865234e-06,3094
0,0,True,7,16,5.125999450683594e-06,3095
0,0,True,7,16,4.708766937255859e-06,3096
1,1,True,16,15,7.0035457611083984e-06,3097
0,0,True,13,16,5.4836273193359375e-06,3098
Draw,1,False,16,15,5.27501106262207e-06,3099
Draw,0,False,16,16,4.947185516357422e-06,3100
1,1,True,10,15,6.389617919921875e-06,3101
0,0,True,7,16,8.046627044677734e-06,3102
Draw,1,False,16,15,5.3942203521728516e-06,3103
Draw,0,False,16,16,6.794929504394531e-06,3104
1,1,True,12,15,5.563100179036458e-06,3105
Draw,0,False,16,16,4.827976226806641e-06,3106
1,1,True,8,15,7.450580596923828e-06,3107
1,1,True,14,15,8.92366681780134e-06,3108
0,0,True,15,16,6.4373016357421875e-06,3109
1,1,True,8,15,5.424022674560547e-06,3110
0,0,True,7,16,5.245208740234375e-06,3111
0,0,True,13,16,5.381447928292411e-06,3112
1,1,True,16,15,6.22868537902832e-06,3113
1,1,True,16,15,6.9141387939453125e-06,3114
1,1,True,16,15,5.453824996948242e-06,3115
1,1,True,16,15,4.351139068603516e-06,3116
1,1,True,16,15,6.139278411865234e-06,3117
0,0,True,7,16,5.4836273193359375e-06,3118
0,0,True,7,16,4.708766937255859e-06,3119
1,1,True,16,15,5.3942203521728516e-06,3120
Draw,0,False,16,16,5.424022674560547e-06,3121
1,1,True,16,15,5.5730342864990234e-06,3122
0,0,True,15,16,6.67572021484375e-06,3123
1,1,True,16,15,9.626150131225586e-06,3124
Draw,1,False,16,15,6.735324859619141e-06,3125
Draw,1,False,16,15,5.424022674560547e-06,3126
1,1,True,16,15,4.649162292480469e-06,3127
Draw,0,False,16,16,5.125999450683594e-06,3128
1,1,True,16,15,7.957220077514648e-06,3129
Draw,0,False,16,16,7.033348083496094e-06,3130
0,0,True,7,16,5.781650543212891e-06,3131
1,1,True,16,15,5.3942203521728516e-06,3132
0,0,True,15,16,7.68899917602539e-06,3133
1,1,True,16,15,4.76837158203125e-06,3134
1,1,True,12,15,5.8015187581380206e-06,3135
Draw,1,False,16,15,5.513429641723633e-06,3136
1,1,True,16,15,6.288290023803711e-06,3137
0,0,True,7,16,5.364418029785156e-06,3138
Draw,0,False,16,16,5.245208740234375e-06,3139
1,1,True,16,15,5.543231964111328e-06,3140
0,0,True,7,16,4.887580871582031e-06,3141
0,0,True,7,16,5.245208740234375e-06,3142
1,1,True,16,15,5.900859832763672e-06,3143
1,1,True,14,15,6.301062447684151e-06,3144
0,0,True,15,16,5.0961971282958984e-06,3145
1,1,True,16,15,6.0498714447021484e-06,3146
Draw,0,False,16,16,4.76837158203125e-06,3147
1,1,True,16,15,5.8710575103759766e-06,3148
1,1,True,16,15,5.155801773071289e-06,3149
0,0,True,15,16,4.380941390991211e-06,3150
1,1,True,14,15,5.4836273193359375e-06,3151
1,1,True,16,15,7.033348083496094e-06,3152
Draw,0,False,16,16,4.678964614868164e-06,3153
Draw,0,False,16,16,4.887580871582031e-06,3154
0,0,True,15,16,6.735324859619141e-06,3155
0,0,True,7,16,1.2516975402832031e-05,3156
Draw,1,False,16,15,5.900859832763672e-06,3157
1,1,True,16,15,6.854534149169922e-06,3158
0,0,True,15,16,5.21540641784668e-06,3159
1,1,True,16,15,5.9604644775390625e-06,3160
Draw,0,False,16,16,5.066394805908203e-06,3161
1,1,True,16,15,5.9604644775390625e-06,3162
1,1,True,16,15,5.453824996948242e-06,3163
Draw,0,False,16,16,5.364418029785156e-06,3164
Draw,1,False,16,15,5.781650543212891e-06,3165
1,1,True,16,15,8.225440979003906e-06,3166
1,1,True,16,15,5.692243576049805e-06,3167
1,1,True,16,15,5.811452865600586e-06,3168
1,1,True,12,15,5.563100179036458e-06,3169
1,1,True,16,15,6.645917892456055e-06,3170
0,0,True,15,16,5.0067901611328125e-06,3171
1,1,True,16,15,5.4836273193359375e-06,3172
0,0,True,7,16,5.900859832763672e-06,3173
0,0,True,15,16,4.947185516357422e-06,3174
1,1,True,16,15,7.510185241699219e-06,3175
1,1,True,10,15,6.246566772460937e-06,3176
Draw,1,False,16,15,5.245208740234375e-06,3177
1,1,True,14,15,5.790165492466518e-06,3178
0,0,True,7,16,4.589557647705078e-06,3179
Draw,1,False,16,15,5.334615707397461e-06,3180
1,1,True,16,15,5.0961971282958984e-06,3181
1,1,True,16,15,5.632638931274414e-06,3182
0,0,True,7,16,5.304813385009766e-06,3183
1,1,True,8,15,6.079673767089844e-06,3184
Draw,0,False,16,16,5.304813385009766e-06,3185
0,0,True,15,16,5.245208740234375e-06,3186
0,0,True,15,16,5.334615707397461e-06,3187
1,1,True,8,15,4.410743713378906e-06,3188
Draw,0,False,16,16,5.21540641784668e-06,3189
Draw,0,False,16,16,5.245208740234375e-06,3190
0,0,True,11,16,5.125999450683594e-06,3191
1,1,True,8,15,8.64267349243164e-06,3192
0,0,True,7,16,5.364418029785156e-06,3193
Draw,1,False,16,15,5.21540641784668e-06,3194
1,1,True,16,15,5.632638931274414e-06,3195
0,0,True,7,16,4.351139068603516e-06,3196
0,0,True,7,16,5.304813385009766e-06,3197
1,1,True,12,15,4.450480143229167e-06,3198
0,0,True,13,16,5.040849958147321e-06,3199
1,1,True,12,15,7.589658101399739e-06,3200
1,1,True,16,15,5.781650543212891e-06,3201
1,1,True,8,15,6.616115570068359e-06,3202
0,0,True,15,16,5.453824996948242e-06,3203
1,1,True,16,15,4.9173831939697266e-06,3204
0,0,True,15,16,5.0067901611328125e-06,3205
0,0,True,7,16,5.066394805908203e-06,3206
1,1,True,16,15,6.139278411865234e-06,3207
0,0,True,15,16,4.947185516357422e-06,3208
Draw,0,False,16,16,4.827976226806641e-06,3209
1,1,True,16,15,5.900859832763672e-06,3210
0,0,True,15,16,5.841255187988281e-06,3211
1,1,True,16,15,5.841255187988281e-06,3212
Draw,0,False,16,16,5.453824996948242e-06,3213
1,1,True,16,15,5.7220458984375e-06,3214
0,0,True,15,16,5.424022674560547e-06,3215
1,1,True,16,15,6.079673767089844e-06,3216
1,1,True,8,15,8.225440979003906e-06,3217
1,1,True,8,15,5.781650543212891e-06,3218
0,0,True,7,16,6.020069122314453e-06,3219
0,0,True,15,16,5.304813385009766e-06,3220
0,0,True,7,16,3.993511199951172e-06,3221
1,1,True,16,15,6.318092346191406e-06,3222
1,1,True,16,15,6.288290023803711e-06,3223
0,0,True,15,16,5.424022674560547e-06,3224
Draw,0,False,16,16,5.692243576049805e-06,3225
Draw,0,False,16,16,6.020069122314453e-06,3226
Draw,0,False,16,16,5.036592483520508e-06,3227
0,0,True,15,16,5.5730342864990234e-06,3228
1,1,True,16,15,5.036592483520508e-06,3229
1,1,True,16,15,7.033348083496094e-06,3230
1,1,True,8,15,6.377696990966797e-06,3231
0,0,True,13,16,5.347388131277901e-06,3232
Draw,0,False,16,16,4.410743713378906e-06,3233
0,0,True,7,16,5.304813385009766e-06,3234
0,0,True,15,16,5.900859832763672e-06,3235
1,1,True,16,15,5.841255187988281e-06,3236
Draw,0,False,16,16,5.9604644775390625e-06,3237
0,0,True,7,16,5.304813385009766e-06,3238
Draw,0,False,16,16,4.887580871582031e-06,3239
0,0,True,7,16,4.0531158447265625e-06,3240
Draw,0,False,16,16,5.4836273193359375e-06,3241
1,1,True,16,15,6.318092346191406e-06,3242
0,0,True,7,16,4.589557647705078e-06,3243
1,1,True,8,15,5.304813385009766e-06,3244
0,0,True,7,16,4.291534423828125e-06,3245
0,0,True,11,16,5.3246815999348956e-06,3246
Draw,0,False,16,16,4.410743713378906e-06,3247
0,0,True,15,16,5.364418029785156e-06,3248
